run,sample,timestamp,flow_a,press_r,temp_r,level_s,flow_b,temp_s,valve_1,valve_2,comp_a,const_c,derived_sum,power_c
1,1,2026-01-01 00:00:00,102.8247,2707.3693,119.8509,50.5973,42.1516,80.1818,65.5346,68.3715,30.0712,7.5000,144.9764,300.9823
1,2,2026-01-01 00:03:00,106.2771,2709.8369,120.0442,48.4103,41.5912,79.6437,65.5346,68.3715,30.0712,7.5000,147.8682,302.5406
1,3,2026-01-01 00:06:00,107.0439,2705.2292,119.8986,46.9484,42.6686,79.9649,65.5346,68.3715,30.0712,7.5000,149.7125,303.3384
1,4,2026-01-01 00:09:00,102.9744,2719.2543,119.9743,48.8021,42.7249,79.7011,65.5346,68.3715,30.0712,7.5000,145.6992,307.1050
1,5,2026-01-01 00:12:00,105.9350,2719.1825,120.1120,47.5781,42.7212,79.8487,65.5346,68.3715,30.0712,7.5000,148.6562,305.3055
1,6,2026-01-01 00:15:00,101.7492,2724.4948,119.8862,49.5370,44.4519,79.9501,65.5346,68.3715,30.0712,7.5000,146.2010,302.0222
1,7,2026-01-01 00:18:00,105.1259,2720.3059,119.6047,50.7752,45.6247,80.0841,65.5346,68.3715,30.8211,7.5000,150.7506,309.6709
1,8,2026-01-01 00:21:00,104.1266,2721.0766,119.3513,49.2860,44.8834,80.1780,65.5346,68.3715,30.8211,7.5000,149.0100,319.1272
1,9,2026-01-01 00:24:00,103.2117,2726.2180,119.3958,47.6985,46.9027,80.0286,65.5346,68.3715,30.8211,7.5000,150.1144,317.0132
1,10,2026-01-01 00:27:00,100.4005,2724.1053,119.0020,52.5426,46.4602,80.0211,65.5346,68.3715,30.8211,7.5000,146.8607,322.4873
1,11,2026-01-01 00:30:00,104.6677,2715.8596,119.7117,50.5046,45.3022,80.2821,65.5346,68.3715,30.8211,7.5000,149.9698,322.0952
1,12,2026-01-01 00:33:00,103.0628,2702.8353,119.7444,44.5315,44.1104,79.2997,65.5346,68.3715,30.8211,7.5000,147.1733,315.8284
1,13,2026-01-01 00:36:00,103.9572,2709.1229,120.4435,38.9163,40.9691,79.4872,65.5346,68.3715,30.1266,7.5000,144.9263,313.4889
1,14,2026-01-01 00:39:00,103.5090,2711.0632,120.1011,40.9276,40.3918,79.4303,65.5346,68.3715,30.1266,7.5000,143.9008,300.8639
1,15,2026-01-01 00:42:00,102.9373,2709.4797,121.0903,42.2721,39.9755,79.2507,65.5346,68.3715,30.1266,7.5000,142.9128,297.2201
1,16,2026-01-01 00:45:00,104.6312,2711.4713,120.9499,41.9727,40.9249,79.5713,65.5346,68.3715,30.1266,7.5000,145.5561,292.9538
1,17,2026-01-01 00:48:00,104.6969,2709.7937,119.7993,46.9914,43.2205,80.1612,65.5346,68.3715,30.1266,7.5000,147.9174,301.9647
1,18,2026-01-01 00:51:00,105.6611,2710.6699,120.1492,40.3552,41.9999,79.5885,65.5346,68.3715,30.1266,7.5000,147.6609,311.9816
1,19,2026-01-01 00:54:00,111.7317,2714.0902,120.0952,45.3656,41.8443,79.4759,65.5346,68.3715,31.2173,7.5000,153.5760,304.3795
1,20,2026-01-01 00:57:00,109.6668,2713.7329,120.3897,49.1341,40.2409,80.2960,65.5346,68.3715,31.2173,7.5000,149.9077,306.4074
1,21,2026-01-01 01:00:00,109.4916,2735.0705,120.5579,45.4059,40.9051,79.7073,65.5346,68.3715,31.2173,7.5000,150.3967,299.6694
1,22,2026-01-01 01:03:00,105.4726,2721.9288,120.6830,44.1033,40.4681,79.9032,65.5346,68.3715,31.2173,7.5000,145.9407,300.9720
1,23,2026-01-01 01:06:00,107.9598,2727.1713,122.1307,43.4993,37.3133,80.0047,65.5346,68.3715,31.2173,7.5000,145.2730,301.3950
1,24,2026-01-01 01:09:00,109.7062,2709.4462,121.9737,41.8042,40.1999,79.7660,65.5346,68.3715,31.2173,7.5000,149.9062,293.1055
1,25,2026-01-01 01:12:00,109.6266,2714.4906,121.6169,41.5054,38.6908,80.8293,65.5346,68.3715,32.0763,7.5000,148.3173,294.8432
1,26,2026-01-01 01:15:00,106.5307,2723.4461,121.3341,47.4150,40.1703,81.3411,67.1867,68.3715,32.0763,7.5000,146.7010,291.9105
1,27,2026-01-01 01:18:00,104.6545,2718.4373,121.7557,53.0257,36.6937,81.1576,67.1867,68.3715,32.0763,7.5000,141.3482,292.0632
1,28,2026-01-01 01:21:00,106.0573,2709.3582,122.3586,50.7349,36.0094,80.8365,67.1867,68.3715,32.0763,7.5000,142.0667,287.5005
1,29,2026-01-01 01:24:00,107.0861,2705.0166,122.1710,55.4007,38.0858,80.8335,67.1867,68.3715,32.0763,7.5000,145.1719,281.5374
1,30,2026-01-01 01:27:00,109.3293,2711.2756,121.5637,54.6847,38.6814,81.6229,67.1867,68.3715,32.0763,7.5000,148.0108,288.2580
1,31,2026-01-01 01:30:00,107.4116,2719.1635,121.0555,58.8595,38.8551,81.8035,67.1867,68.3715,31.7120,7.5000,146.2667,288.5228
1,32,2026-01-01 01:33:00,107.7077,2725.7661,121.0457,56.1538,39.9776,81.1533,67.1867,68.3715,31.7120,7.5000,147.6853,285.5566
1,33,2026-01-01 01:36:00,108.5098,2719.8827,120.8616,55.1047,41.0855,81.1028,67.1867,68.3715,31.7120,7.5000,149.5952,294.8012
1,34,2026-01-01 01:39:00,108.7294,2711.3429,121.0133,55.2863,41.0912,81.0172,67.1867,68.3715,31.7120,7.5000,149.8206,303.6721
1,35,2026-01-01 01:42:00,109.1118,2720.7482,121.0367,65.1254,38.5590,81.9731,67.1867,68.3715,31.7120,7.5000,147.6708,301.4983
1,36,2026-01-01 01:45:00,109.9051,2721.2782,120.9642,64.5875,40.1182,82.0563,67.1867,68.3715,31.7120,7.5000,150.0233,297.4740
1,37,2026-01-01 01:48:00,110.3858,2730.0782,121.1137,57.5273,40.6591,81.0456,67.1867,68.3715,32.7117,7.5000,151.0449,296.9658
1,38,2026-01-01 01:51:00,110.6502,2728.5576,120.5877,60.1090,41.3743,81.3396,67.1867,68.3715,32.7117,7.5000,152.0245,296.3953
1,39,2026-01-01 01:54:00,110.4429,2738.2074,121.0136,55.4674,42.3703,81.5013,67.1867,68.3715,32.7117,7.5000,152.8133,298.1394
1,40,2026-01-01 01:57:00,113.3166,2737.0085,121.1316,54.8427,42.4217,80.6874,67.1867,68.3715,32.7117,7.5000,155.7384,306.5421
1,41,2026-01-01 02:00:00,108.3422,2727.3777,120.9476,57.3012,42.7356,81.3874,67.1867,30.2205,32.7117,7.5000,151.0778,299.1603
1,42,2026-01-01 02:03:00,106.8360,2739.1272,120.4906,55.3610,46.3278,81.3946,67.1867,30.2205,32.7117,7.5000,153.1638,300.5456
1,43,2026-01-01 02:06:00,106.6148,2722.1273,120.1671,56.6765,49.1645,82.0006,67.1867,30.2205,35.7116,7.5000,155.7792,316.5674
1,44,2026-01-01 02:09:00,102.2360,2719.0348,120.4936,55.6149,48.8403,81.6899,67.1867,30.2205,35.7116,7.5000,151.0763,326.6340
1,45,2026-01-01 02:12:00,101.6311,2718.7725,119.6005,57.9373,48.3584,81.4870,67.1867,30.2205,35.7116,7.5000,149.9895,321.9671
1,46,2026-01-01 02:15:00,107.4337,2712.6925,119.3830,57.9190,49.6482,82.0609,67.1867,30.2205,35.7116,7.5000,157.0820,319.0798
1,47,2026-01-01 02:18:00,104.5565,2705.7560,119.6772,50.9432,46.9879,80.4955,67.1867,30.2205,35.7116,7.5000,151.5444,327.3789
1,48,2026-01-01 02:21:00,106.9358,2718.6410,119.3228,53.9080,47.1465,80.8914,67.1867,30.2205,35.7116,7.5000,154.0823,316.4074
1,49,2026-01-01 02:24:00,101.4276,2708.6206,119.1689,49.9909,46.6815,79.9648,67.1867,30.2205,32.2731,7.5000,148.1091,314.0339
1,50,2026-01-01 02:27:00,101.6709,2713.0286,119.7731,46.6532,46.5281,79.8827,67.1867,30.2205,32.2731,7.5000,148.1990,309.2063
1,51,2026-01-01 02:30:00,98.7483,2691.6930,119.6812,47.8100,41.1321,79.5709,33.9932,30.2205,32.2731,7.5000,139.8804,313.1494
1,52,2026-01-01 02:33:00,99.2344,2683.4158,120.8307,48.3238,38.3280,80.0901,33.9932,30.2205,32.2731,7.5000,137.5625,309.9600
1,53,2026-01-01 02:36:00,100.3690,2677.5939,120.6588,46.6390,34.7592,79.8031,33.9932,30.2205,32.2731,7.5000,135.1282,303.8891
1,54,2026-01-01 02:39:00,101.6543,2678.8065,120.8670,47.8668,33.9141,80.5325,33.9932,30.2205,32.2731,7.5000,135.5684,284.7708
1,55,2026-01-01 02:42:00,100.6326,2684.5319,120.9268,43.4097,33.3920,79.4348,33.9932,30.2205,30.0284,7.5000,134.0246,276.7973
1,56,2026-01-01 02:45:00,97.9678,2701.1778,121.2925,41.6266,33.1344,79.5135,33.9932,30.2205,30.0284,7.5000,131.1022,274.5474
1,57,2026-01-01 02:48:00,101.8328,2700.8400,120.7762,41.9651,36.7277,79.2979,33.9932,30.2205,30.0284,7.5000,138.5606,279.8592
1,58,2026-01-01 02:51:00,101.6426,2697.0081,120.8313,43.7526,38.3573,79.8449,33.9932,30.2205,30.0284,7.5000,139.9999,286.3828
1,59,2026-01-01 02:54:00,96.4757,2702.5781,120.9651,46.0074,37.8563,80.2128,33.9932,30.2205,30.0284,7.5000,134.3319,300.4664
1,60,2026-01-01 02:57:00,94.4803,2706.0799,120.3424,43.3431,38.0657,80.1802,33.9932,30.2205,30.0284,7.5000,132.5460,295.2847
1,61,2026-01-01 03:00:00,92.0062,2684.8146,120.6814,46.8294,36.9810,80.2203,33.9932,30.2205,31.7859,7.5000,128.9872,296.6139
1,62,2026-01-01 03:03:00,93.5865,2682.2239,121.1315,48.8813,37.4604,80.2019,33.9932,30.2205,31.7859,7.5000,131.0468,292.3434
1,63,2026-01-01 03:06:00,94.9054,2675.1085,120.2467,42.8254,37.2067,80.1298,33.9932,30.2205,31.7859,7.5000,132.1121,293.3611
