run,sample,timestamp,flow_a,press_r,temp_r,level_s,flow_b,temp_s,valve_1,valve_2,comp_a,const_c,derived_sum,power_c,fault_label
1,1,2026-01-01 00:00:00,99.8623,2687.4998,119.8599,51.1459,39.7639,80.0931,50.6430,20.4010,29.8781,7.5000,139.6262,297.3748,step
1,2,2026-01-01 00:03:00,97.0060,2693.3609,119.9979,45.5714,39.5317,79.3721,50.6430,20.4010,29.8781,7.5000,136.5378,296.3593,step
1,3,2026-01-01 00:06:00,101.1197,2684.2875,119.7008,52.6157,41.7325,80.3119,50.6430,20.4010,29.8781,7.5000,142.8522,294.4152,step
1,4,2026-01-01 00:09:00,103.5133,2683.1273,120.0158,50.4621,40.0967,80.0819,50.6430,20.4010,29.8781,7.5000,143.6100,307.2565,step
1,5,2026-01-01 00:12:00,101.7400,2685.8072,120.0201,47.9633,40.2691,79.9627,50.6430,20.4010,29.8781,7.5000,142.0091,292.9637,step
1,6,2026-01-01 00:15:00,102.0727,2694.1330,119.9778,46.3633,39.0828,79.9378,50.6430,20.4010,29.8781,7.5000,141.1555,288.5687,step
1,7,2026-01-01 00:18:00,101.3806,2698.8933,120.6270,48.7101,39.5616,79.6926,50.6430,20.4010,32.3698,7.5000,140.9422,289.2231,step
1,8,2026-01-01 00:21:00,97.5122,2697.7127,120.3518,44.7664,39.3949,79.0558,50.6430,20.4010,32.3698,7.5000,136.9070,296.2720,step
1,9,2026-01-01 00:24:00,98.2657,2699.6769,120.2773,48.6973,41.5959,80.4550,50.6430,20.4010,32.3698,7.5000,139.8616,293.6667,step
1,10,2026-01-01 00:27:00,96.3929,2694.7718,119.5887,50.7295,43.9535,80.3303,50.6430,20.4010,32.3698,7.5000,140.3464,296.9794,step
1,11,2026-01-01 00:30:00,97.8705,2691.6166,119.3829,49.9224,43.7072,80.6212,50.6430,20.4010,32.3698,7.5000,141.5777,310.9311,step
1,12,2026-01-01 00:33:00,98.4636,2675.7455,119.4754,46.8038,40.9800,80.1822,50.6430,20.4010,32.3698,7.5000,139.4435,310.9700,step
1,13,2026-01-01 00:36:00,97.4333,2675.9493,120.0365,48.7111,38.3181,80.0076,50.6430,20.4010,28.1057,7.5000,135.7514,302.6992,step
1,14,2026-01-01 00:39:00,101.0102,2677.3462,120.1152,48.6167,37.5314,79.7618,50.6430,20.4010,28.1057,7.5000,138.5415,290.7190,step
1,15,2026-01-01 00:42:00,99.6375,2671.5994,120.2518,40.7848,37.7984,79.0285,50.6430,20.4010,28.1057,7.5000,137.4359,294.1524,step
1,16,2026-01-01 00:45:00,95.3523,2690.9213,120.0741,42.2758,37.6679,79.1101,50.6430,20.4010,28.1057,7.5000,133.0202,287.2593,step
1,17,2026-01-01 00:48:00,96.2416,2686.2172,119.6796,41.3881,39.3339,79.3409,50.6430,20.4010,28.1057,7.5000,135.5755,287.5572,step
1,18,2026-01-01 00:51:00,91.6237,2677.3630,120.7936,41.7033,39.0308,78.9946,50.6430,20.4010,28.1057,7.5000,130.6545,291.4327,step
1,19,2026-01-01 00:54:00,92.7860,2683.5336,119.8135,42.2140,40.1854,78.7404,50.6430,20.4010,27.9169,7.5000,132.9714,285.9191,step
1,20,2026-01-01 00:57:00,95.7117,2665.8686,118.8771,41.4830,41.8534,79.4270,50.6430,20.4010,27.9169,7.5000,137.5651,294.7591,step
1,21,2026-01-01 01:00:00,96.4945,2670.7545,119.0330,42.8228,41.7050,78.8800,50.6430,20.4010,27.9169,7.5000,138.1995,301.9388,step
