order_id,created_at,customer_id,region,category,quantity,unit_price,discount_pct,amount,entered_by,status
ORD-000001,2026-03-01 08:02:17,1017.0,south,A,23,12.14,8.2,256.35,op5,closed
ORD-000002,2026-03-01 08:07:39,1001.0,north,B,5,46.83,8.1,215.19,op3,shipped
ORD-000003,2026-03-01 08:18:52,1039.0,central,A,25,13.21,7.8,304.54,op2,paid
ORD-000004,2026-03-01 08:19:19,1015.0,west,D,10,123.16,9.8,1110.89,op3,shipped
ORD-000005,2026-03-01 08:20:28,1023.0,north,B,35,46.09,0.0,1613.21,op6,closed
ORD-000006,2026-03-01 08:58:22,1024.0,west,C,6,3.31,5.4,18.78,op5,paid
ORD-000007,2026-03-01 08:59:04,1002.0,west,B,28,47.66,3.1,1293.24,op6,closed
ORD-000008,2026-03-01 09:00:57,1029.0,south,C,5,3.33,8.0,15.3,op4,paid
ORD-000009,2026-03-01 09:03:52,1004.0,east,B,13,45.95,2.0,585.46,op6,shipped
ORD-000010,2026-03-01 09:10:54,1031.0,central,B,30,47.76,6.3,1342.6,op5,paid
ORD-000011,2026-03-01 09:14:21,1020.0,north,C,22,3.15,7.5,64.14,op5,paid
ORD-000012,2026-03-01 09:22:29,1029.0,south,A,11,12.21,7.9,123.69,op2,paid
ORD-000013,2026-03-01 09:32:38,1006.0,east,A,14,12.03,9.7,152.12,op6,shipped
ORD-000014,2026-03-01 09:33:55,1038.0,south,D,35,126.85,9.5,4017.82,op2,paid
ORD-000015,2026-03-01 09:48:37,1027.0,west,A,34,12.47,5.4,401.19,op2,closed
ORD-000016,2026-03-01 10:02:10,1034.0,west,B,1,47.45,0.4,47.26,op2,paid
ORD-000017,2026-03-01 10:29:26,1006.0,west,A,9,11.85,6.2,100.02,op3,new
ORD-000018,2026-03-01 10:58:54,1015.0,east,C,13,3.3,9.5,38.86,op2,new
ORD-000019,2026-03-01 11:16:16,1009.0,south,C,6,3.3,8.5,18.14,op1,shipped
ORD-000020,2026-03-01 11:29:37,1006.0,north,A,12,12.41,0.0,148.97,op6,shipped
ORD-000021,2026-03-01 11:34:54,1009.0,central,C,3,3.06,2.2,8.98,op3,closed
ORD-000022,2026-03-01 11:40:27,1013.0,south,A,16,12.7,6.9,189.13,op2,paid
ORD-000023,2026-03-01 11:46:52,1003.0,west,B,27,47.92,6.7,1207.2,op3,new
ORD-000024,2026-03-01 11:55:59,1002.0,central,B,23,45.8,5.3,997.47,op6,shipped
ORD-000025,2026-03-01 12:19:29,1005.0,north,C,9,3.4,5.4,28.93,op6,new
ORD-000026,2026-03-01 12:28:04,1025.0,south,B,20,48.99,2.7,953.32,op1,closed
