aikaleima;dens_22;speed_99;torque_30;flow_98;analyzer_82;valve_27;humid_13;setp_76;ph_52;ph_05;total_70;ph_85
17.06.2026 06:00:10;480,654;9,07473;192,667;1128,83;8,21602;63,8;459,169;31,4;283,581;2043,57;1141,87;13,0593
17.06.2026 06:00:20;485,606;9,04266;199,707;1155,83;8,21602;63,8;463,373;31,4;279,221;2050,32;1168,87;13,0392
17.06.2026 06:00:30;485,637;9,47083;200,886;1166,31;8,21602;63,8;456,737;31,4;284,025;2027,16;1179,26;12,9781
17.06.2026 06:00:40;488,991;9,90903;197,887;1144,24;8,21602;63,8;461,334;31,4;279,973;2029,56;1157,35;13,0933
17.06.2026 06:00:50;501,632;10,1491;204,366;1137,9;8,21602;63,8;453,372;31,4;283,944;2023,39;1150,96;13,0892
17.06.2026 06:01:00;508,803;9,79342;205,076;1152,38;8,21602;63,8;457,1;31,4;281,771;2034,09;1165,43;13,0327
17.06.2026 06:01:10;533,47;9,77264;143,841;1116,89;8,21602;63,8;445,071;31,4;280,88;2013,81;1129,38;12,523
17.06.2026 06:01:20;536,747;9,53117;124,248;1105,52;8,21602;63,8;447,082;31,4;283,88;2031,8;1117,7;12,2047
17.06.2026 06:01:30;525,209;9,51906;120,52;1133,91;8,21602;63,8;458,738;31,4;281,244;2042,33;1146,16;12,2351
17.06.2026 06:01:40;527,179;9,80362;95,2236;1186,75;8,10604;63,8;453,795;31,4;279,822;1934,74;1198,76;12,0112
17.06.2026 06:01:50;510,877;8,94145;123,887;1190,32;8,10604;63,8;454,684;31,4;296,605;1847,3;1202,75;12,4249
17.06.2026 06:02:00;515,003;9,20251;130,495;1169,11;8,10604;63,8;453,389;31,4;294,425;1848,14;1181,45;12,3148
17.06.2026 06:02:10;498,335;9,91161;153,655;1186,95;8,10604;63,8;460,158;31,4;286,733;1846,07;1199,42;12,4729
17.06.2026 06:02:20;526,44;9,5895;117,152;1287,25;8,10604;63,8;447,101;31,4;284,89;1876,17;1299,92;12,6852
17.06.2026 06:02:30;519,603;9,42794;140,493;1251,89;8,10604;63,8;460,975;31,4;281,013;1866,62;1264,54;12,6708
17.06.2026 06:02:40;521,756;9,63035;137,598;1179,32;8,10604;63,8;457,037;31,4;278,152;1937,5;1191,36;12,0664
17.06.2026 06:02:50;512,78;9,56233;112,888;1228,02;8,10604;63,8;467,88;31,4;273,102;1836,63;1240,55;12,5499
17.06.2026 06:03:00;493,211;8,50349;127,861;1181,17;8,10604;63,8;448,091;31,4;295,5;1893,8;1193,67;12,4978
17.06.2026 06:03:10;509,222;8,88029;154,164;1161,66;8,18449;63,8;442,429;31,4;284,861;1869,56;1174,21;12,5815
17.06.2026 06:03:20;518,56;9,44993;161,271;1142,3;8,18449;63,8;453,863;31,4;281,721;1864,34;1154,76;12,4621
