Campaign,Time,Operating mode,State,Cooler current [A],Header pressure [bar],Feed speed [rpm],Outlet valve position [%],Line 2 density [kg/m3],Mixer density [kg/m3],Mixer analyser [mg/l],Cooler speed [rpm],Tank density [kg/m3],Pump current [A],Total speed [rpm],Tank counter [pcs],Mixer speed [rpm],Mixer valve position [%],Reactor temperature [°C]
1,1782108020,idle,normal,8433.13,1.55669,193.928,77.9,139.992,41.336,4.63343,0.0610347,15.3127,0.0144955,82.7327,115,13.8174,35.7,98.0217
1,1782108043,idle,normal,8625.12,1.57144,140.132,77.9,151.796,41.713,4.63343,0.0263086,15.2464,0.0108195,82.5799,112.5,13.8933,35.7,97.8343
1,1782108061,idle,normal,8626.02,1.57431,296.57,77.9,144.535,41.9115,4.63343,0.0506269,15.3756,0.0230626,81.939,112.5,13.8633,35.7,97.3086
1,1782108080,idle,normal,8686.48,1.58304,346.778,77.9,150.337,40.8873,4.63343,0.0551283,15.2088,0.0160532,82.1537,112.5,13.1334,35.7,97.378
1,1782108098,idle,normal,8643.4,1.54625,339.049,77.9,151.708,40.2112,4.63343,0.0276552,15.2824,0.0158889,82.9224,112.5,12.5812,35.7,98.1923
1,1782108121,idle,normal,8580.28,1.56037,353.944,77.9,145.718,39.8906,4.63343,0.0175623,15.0733,0.0177624,83.1859,115,12.525,35.7,98.2542
1,1782108140,idle,normal,8629.94,1.57034,346.113,77.9,138.539,40.022,4.63343,0.0170243,15.4418,0.0222086,82.3926,115,12.8718,35.7,97.8602
1,1782108164,idle,normal,8375.81,1.55467,435.076,77.9,132.415,40.0607,4.63343,0.00836267,15.0574,0.0138748,83.0462,115,13.0804,35.7,98.1036
1,1782108185,idle,normal,8432.14,1.52542,302.982,77.9,133.925,40.7643,4.63343,-0.0105747,15.1514,0.0793043,84.7625,115,13.1031,35.7,99.9114
1,1782108207,idle,normal,8488.26,1.57473,268.3,77.9,131.708,40.6789,4.63343,0.0166422,15.1433,0.122532,82.5117,115,13.9143,35.7,97.6558
1,1782108230,idle,normal,8369.47,1.59226,299.118,77.9,133.143,39.621,4.63343,0.0536818,14.5656,0.124415,80.1244,112.5,13.8686,35.7,94.6865
1,1782108248,idle,normal,8372.94,1.55199,177.578,77.9,145.251,40.8844,4.4539,0.0503922,14.7193,0.0971414,79.7343,117.5,14.0605,35.7,94.4517
1,1782108268,idle,normal,8271.36,1.60044,204.49,77.9,131.089,39.4357,4.4539,0.0874136,14.4219,0.116076,79.4723,117.5,14.0804,35.7,93.8883
1,1782108285,idle,normal,8157.22,1.61907,119.502,77.9,131.952,39.0489,4.4539,0.112634,14.5166,0.0988683,77.8743,112.5,13.9231,35.7,92.3929
1,1782108305,idle,normal,8260.13,1.63306,150.869,77.9,129.815,39.6801,4.4539,0.127685,14.4232,0.0960354,75.1165,117.5,14.8182,35.7,89.5484
1,1782108328,idle,normal,8201.96,1.64754,176.19,77.9,123.283,39.1159,4.4539,0.103792,14.4659,0.0916563,76.3707,117.5,14.7886,35.7,90.8319
1,1782108353,idle,normal,8515.95,1.6687,211.536,77.9,118.454,40.4001,4.4539,0.152437,14.6384,0.0920234,74.7281,115,14.3199,35.7,89.3815
1,1782108369,idle,normal,8268.05,1.63897,295.179,77.9,108.477,40.6496,4.4539,0.0958267,15.1034,0.099599,73.9795,112.5,13.9612,35.7,89.0677
1,1782108391,idle,normal,8331.2,1.62168,239.956,77.9,119.472,41.4413,4.4539,0.0434963,15.1522,0.121752,79.6741,115,12.9568,35.7,94.832
1,1782108411,idle,normal,8455.37,1.56472,311.05,77.9,112.534,38.8013,4.4539,0.05847,15.2933,0.138959,81.7308,112.5,13.1757,35.7,97.0221
1,1782108428,idle,normal,8496.85,1.5708,231.525,77.9,112.765,39.2926,4.4539,0.0707724,15.346,0.089494,80.0677,115,13.2595,35.7,95.4245
1,1782108447,idle,normal,8476.95,1.55545,206.085,77.9,124.355,39.1491,4.4539,0.113289,15.2252,0.0726701,77.2845,115,13.261,35.7,92.4976
1,1782108465,idle,normal,8485.23,1.55868,172.611,77.9,129.359,40.464,4.5523,0.0425622,15.0582,0.0903105,81.4141,117.5,13.2671,35.7,96.4645
1,1782108488,idle,normal,8465.24,1.55724,179.565,77.9,132.092,40.9662,4.5523,0.0245658,14.9011,0.0664114,83.2178,117.5,13.6159,35.7,98.1282
1,1782108507,idle,normal,8562.5,1.59874,155.615,77.9,125.363,41.9066,4.5523,0.0696293,15.1947,0.125111,79.1366,115,13.8791,35.7,94.3101
