RunNo	Step	AI-784.PV	AT-557.PV	AT-690.PV	LT-819.PV	TT-394.PV	TT-453.PV	TT-350.PV	AI-457.PV	AT-773.PV	TT-395.PV	FT-840.PV	TT-813.PV	FV-461.OP	LT-216.PV	HS-290.SP	FT-723.PV	AT-401.PV	FV-878.OP	PT-486.PV	LT-303.PV	AT-265.PV	FT-547.PV	TT-300.PV	FY-418.CV	FY-180.CV	LT-635.PV	ST-522.PV	PT-891.PV	LT-815.PV	PT-464.PV	FV-245.OP	ST-604.PV	FV-696.OP	fault_class
1	1	2.92344	-38.6787	2.83414	984.831	4.70383	-16.1755	171.459	0.07401	2.78181	203.368	4.8491	31.7727	56.5	2073.1	10.4	66.3567	502.77	62.4	122.994	369.34	2.87403	222.693	2511.66	234.523	5.65807	1.81327	736.919	49.1585	10.8733	212.949	24.8	9.79194	23.7	6
1	2	2.92344	-73.0997	2.79405	989.432	4.62576	-14.7725	165.357	0.07401	2.7695	197	4.8094	32.4747	56.5	2022.85	10.4	66.7008	505.34	62.4	127.786	363.641	2.83041	223.91	2523.4	233.283	5.60133	1.82538	738.252	49.9175	10.7939	234.385	24.8	9.60903	23.7	6
1	3	2.92344	-39.5623	2.69156	959.912	4.61248	-21.3087	166.643	0.07401	2.77166	197.017	4.83992	31.4994	56.5	2028.26	10.4	65.5699	508.341	62.4	116.473	364.191	2.79173	218.097	2505.81	228.302	5.56075	1.7918	735.974	50.7416	10.7703	224.043	24.8	8.83633	23.7	6
1	4	2.92344	-55.6249	2.71754	911.908	4.65206	-18.0192	163.71	0.07401	2.76191	194.177	4.86553	31.6573	56.5	1992.33	10.4	66.2657	497.935	62.4	112.334	367.213	2.82291	216.174	2513.94	230.143	5.58576	1.82198	728.857	50.8632	10.8747	217.472	24.8	9.08366	23.7	6
1	5	2.92344	47.8823	2.71229	905.137	4.67206	-10.0397	149.257	0.07401	2.77325	198.246	4.81053	31.7309	56.5	2063.72	10.4	64.2061	499.641	62.4	112.592	366.609	2.83346	218.955	2512.37	217.591	5.60497	1.87391	716.736	49.871	10.7931	202.757	24.8	8.88558	23.7	6
1	6	2.92344	85.8568	2.52685	942.557	4.71667	-8.8516	144.148	0.07401	2.78495	194.14	4.87323	30.0993	56.5	2088.85	10.4	64.3473	473.039	62.4	115.297	366.899	2.86008	216.11	2515.37	234.176	5.64498	1.81379	707.261	50.1847	10.8065	208.314	24.8	8.64772	23.7	6
1	7	2.92344	15.5941	2.58273	898.823	4.77216	-12.5358	160.923	0.07401	2.80962	186.146	4.86964	30.9594	56.5	1957.65	10.4	66.2201	486.45	62.4	118.495	371.121	2.84014	214.455	2509.03	223.276	5.64775	1.82551	709.178	49.1149	10.7359	251.159	24.8	8.67157	23.7	6
1	8	2.92344	178.725	2.53846	926.767	4.82456	-12.4312	148.065	0.07401	2.82537	189.832	4.70158	30.0346	56.5	1951.58	10.4	65.5705	484.668	62.4	130.551	376.489	2.83675	212.356	2422.1	237.444	5.66099	1.80648	721.245	53.0096	10.3897	194.138	24.8	7.9325	23.7	6
1	9	2.92344	101.265	2.56128	950.858	4.61857	-15.0377	142.044	0.07401	2.83677	196.474	4.48673	30.0533	56.5	1955.53	10.4	64.2331	474.594	62.4	132.831	377.865	2.87517	218.853	2455.58	229.545	5.71139	1.76726	703.172	50.5178	10.4334	212.075	24.8	7.97789	23.7	6
1	10	2.76871	286.018	2.58662	980.927	4.65385	-21.1989	137.03	-0.0463386	2.81905	214.023	4.52405	28.7986	56.5	1895.27	10.4	60.1453	481.272	62.4	136.77	375.758	2.9234	220.724	2437.82	220.761	5.7435	1.68523	702.854	50.8025	10.2479	177.988	24.8	8.56408	23.7	6
1	11	2.76871	250.224	2.5879	987.568	4.61308	-14.2932	146.41	-0.0463386	2.83729	224.95	4.67696	29.0586	56.5	1880.38	10.4	57.4607	487.646	62.4	140.946	380.497	2.95266	217.285	2397.81	216.297	5.7882	1.77722	703.43	49.9843	9.94436	154.352	24.8	8.43668	23.7	6
1	12	2.76871	362.266	2.589	1004.56	4.59122	-22.2086	152.345	-0.0463386	2.8145	207.306	4.55852	28.6823	56.5	1831.18	10.4	63.0141	495.481	62.4	147.813	386.938	2.86974	214.681	2423.78	219.003	5.68288	1.78446	713.878	51.7827	10.1571	134.298	24.8	8.60216	23.7	6
1	13	2.76871	379.856	2.64342	1002.6	4.67428	-27.4789	171.372	-0.0463386	2.81181	223.628	4.42493	28.2134	56.5	1819.87	10.4	56.3566	489.617	62.4	145.075	387.162	2.87184	218.005	2422.58	227.5	5.68186	1.77065	716.916	53.2617	9.79024	113.962	24.8	9.24018	23.7	6
1	14	2.76871	458.476	2.67461	1014	4.59208	-22.5474	164.785	-0.0463386	2.81049	217.232	4.43999	28.352	56.5	1786.58	10.4	57.6613	484.432	62.4	151.173	379.242	2.8457	214.813	2450.81	272.289	5.65601	1.82167	756.479	54.2439	9.77552	112.032	24.8	9.01311	23.7	6
1	15	2.76871	456.148	2.60544	1038.2	4.58136	-26.133	172.996	-0.0463386	2.75979	201.846	4.63485	28.4081	56.5	1734.52	10.4	53.1194	474.359	62.4	152.968	368.136	2.82409	210.65	2461.01	259.279	5.58534	1.88036	734.304	55.2372	9.54377	83.6093	24.8	8.89289	23.7	6
1	16	2.76871	457.82	2.57741	985.166	4.55199	-29.2457	165.98	-0.0463386	2.76437	188.547	4.69575	27.6287	56.5	1718.66	10.4	57.2731	490.45	62.4	152.564	356.648	2.84111	210.892	2416.63	245.396	5.60444	1.99565	736.699	56.8625	9.57402	96.2522	24.8	9.20472	23.7	6
1	17	2.76871	426.824	2.75881	966.448	4.57854	-21.2216	172.277	-0.0463386	2.73617	176.402	5.00365	28.4136	56.5	1644.53	10.4	48.0195	484.5	62.4	147.953	362	2.77368	217.919	2405.92	258.195	5.50434	1.98804	742.703	54.857	9.4818	81.9931	24.8	9.86623	23.7	6
1	18	2.76871	603.142	2.85061	959.802	4.56587	-15.8344	163.887	-0.0463386	2.7858	185.081	4.82356	28.6293	56.5	1633.9	10.4	48.3739	467.028	62.4	147.156	364.907	2.73894	223.721	2420.21	280.214	5.52784	2.05377	746.969	55.3848	9.37203	41.6057	24.8	10.4242	23.7	6
1	19	3.04681	403.018	2.81542	973.128	4.56822	-6.94929	175.141	0.226591	2.70415	196.426	4.91683	29.6417	56.5	1676.92	10.4	42.8156	467.874	62.4	147.276	360.46	2.77868	218.191	2429.88	257.895	5.48111	2.00813	726.454	54.9108	9.18933	84.9788	24.8	10.0657	23.7	6
1	20	3.04681	340.286	2.78084	1005.08	4.50846	-7.70615	182.965	0.226591	2.7356	182.401	4.90267	29.4492	56.5	1550.16	10.4	44.5769	483.786	62.4	154.805	366.855	2.75377	218.226	2356.01	258.785	5.49345	2.02863	742.184	55.8865	9.32063	121.297	24.8	9.62847	23.7	6
1	21	3.04681	285.557	2.85848	998.238	4.5566	-8.05296	169.179	0.226591	2.72759	170.942	4.84811	29.7045	56.5	1719.73	10.4	46.8367	487.692	62.4	152.104	367.3	2.74524	223.715	2351.03	260.279	5.47407	1.94219	747.104	53.9224	8.93512	146.914	24.8	9.87532	23.7	6
1	22	3.04681	274.685	2.97227	1016.51	4.53281	-9.15336	185.73	0.226591	2.74083	206.199	4.83725	31.0089	56.5	1747.35	10.4	42.478	487.881	62.4	152.663	357.48	2.77142	217.538	2435.06	265.696	5.51344	1.91322	752.923	52.8593	9.16048	142.165	24.8	9.89747	23.7	6
1	23	3.04681	260.83	2.76103	986.923	4.61541	-2.53114	168.24	0.226591	2.73506	225.744	4.97932	31.5169	56.5	1740.87	10.4	31.8906	484.283	62.4	149.969	354.711	2.7982	218.056	2488.62	258.758	5.53643	1.95242	742.564	51.8101	9.23861	145.739	24.8	9.02159	23.7	6
1	24	3.04681	195.5	2.742	995.681	4.39747	-11.3027	166.81	0.226591	2.69835	212.543	5.0293	31.0142	56.5	1776.26	10.4	44.1298	493.26	62.4	146.692	366.888	2.79617	217.012	2441.65	238.771	5.49602	1.89828	731.902	53.9261	9.69231	179.587	24.8	9.07074	23.7	6
1	25	3.04681	114.665	2.61096	972.118	4.47455	-4.68382	145.745	0.226591	2.69981	203.712	4.89847	30.8703	56.5	1787.68	10.4	48.5926	500.013	62.4	145.628	360.15	2.83847	207.864	2434.39	223.488	5.54129	1.97593	724.29	52.4941	9.77432	189.31	24.8	8.43494	23.7	6
1	26	3.04681	127.064	2.71152	992.917	4.52047	-8.10018	169.936	0.226591	2.66634	191.233	4.95649	31.6237	56.5	1882.87	10.4	46.7098	486.78	62.4	144.455	363.197	2.81253	212.619	2493.26	226.326	5.4804	1.90176	713.481	52.9026	9.65127	167.047	24.8	8.06781	23.7	6
1	27	3.04681	89.9587	2.67419	985.884	4.49082	-11.1967	164.497	0.226591	2.73383	189.728	4.84042	31.0332	56.5	1944.69	10.4	48.6657	475.62	62.4	126.009	369.319	2.80839	211.186	2497.99	249.312	5.53897	1.89185	725.278	56.3662	9.85111	180.236	24.8	8.41084	23.7	6
1	28	2.93866	21.8254	2.82251	1014.87	4.51739	2.32334	170.819	-0.00513246	2.67322	186.659	4.76229	29.912	56.5	1891.66	10.4	50.6265	466.409	62.4	112.642	376.197	2.84567	213.334	2430.29	277.795	5.51555	1.90731	744.14	54.5202	10.4759	192.689	24.8	8.6181	23.7	6
